"RecordNumber","Author","Coding","Theory","Year"
5,"Cheng, Ying, Ahn, Jisoo, Lewis, Nehama and Martinez, Lourdes S.","S/Gender","Structural Influence Model of Communication (SIM)",2017
5,"Cheng, Ying, Ahn, Jisoo, Lewis, Nehama and Martinez, Lourdes S.","Health Behav","Structural Influence Model of Communication (SIM)",2017
6,"Lee, Ji Hyun, Giovenco, Danielle and Operario, Don","S/Sexual Orientation","NA",2017
29,"te Poel, Fam, Baumgartner, Susanne E., Hartmann, Tilo and Tanis, Martin","Attitude/Concern","Baumgartner and Hartmann (2011); Fox (2006)",2016
32,"Ghweeba, Mayada, Lindenmeyer, Antje, Shishi, Sobhi, Abbas, Mostafa, Waheed, Amani and Amer, Shaymaa","Internal locus of control","NA",2017
32,"Ghweeba, Mayada, Lindenmeyer, Antje, Shishi, Sobhi, Abbas, Mostafa, Waheed, Amani and Amer, Shaymaa","Health Cond","NA",2017
32,"Ghweeba, Mayada, Lindenmeyer, Antje, Shishi, Sobhi, Abbas, Mostafa, Waheed, Amani and Amer, Shaymaa","Health Status","NA",2017
32,"Ghweeba, Mayada, Lindenmeyer, Antje, Shishi, Sobhi, Abbas, Mostafa, Waheed, Amani and Amer, Shaymaa","S/Age","NA",2017
32,"Ghweeba, Mayada, Lindenmeyer, Antje, Shishi, Sobhi, Abbas, Mostafa, Waheed, Amani and Amer, Shaymaa","S/Education","NA",2017
32,"Ghweeba, Mayada, Lindenmeyer, Antje, Shishi, Sobhi, Abbas, Mostafa, Waheed, Amani and Amer, Shaymaa","S/Gender","NA",2017
32,"Ghweeba, Mayada, Lindenmeyer, Antje, Shishi, Sobhi, Abbas, Mostafa, Waheed, Amani and Amer, Shaymaa","Internet/Type","NA",2017
32,"Ghweeba, Mayada, Lindenmeyer, Antje, Shishi, Sobhi, Abbas, Mostafa, Waheed, Amani and Amer, Shaymaa","S/Financial-Health Insurance","NA",2017
33,"Massey, Philip M., Langellier, Brent A., Sentell, Tetine and Manganello, Jennifer","Health Cond/Family","NA",2017
33,"Massey, Philip M., Langellier, Brent A., Sentell, Tetine and Manganello, Jennifer","S/Age","NA",2017
33,"Massey, Philip M., Langellier, Brent A., Sentell, Tetine and Manganello, Jennifer","S/Education","NA",2017
33,"Massey, Philip M., Langellier, Brent A., Sentell, Tetine and Manganello, Jennifer","S/Language","NA",2017
33,"Massey, Philip M., Langellier, Brent A., Sentell, Tetine and Manganello, Jennifer","S/Race or Ethnicity","NA",2017
33,"Massey, Philip M., Langellier, Brent A., Sentell, Tetine and Manganello, Jennifer","Healthcare/Experience","NA",2017
37,"Haluza, Daniela, Naszay, Marlene, Stockinger, Andreas and Jungwirth, David","Info/Health/Info Seeking","NA",2017
37,"Haluza, Daniela, Naszay, Marlene, Stockinger, Andreas and Jungwirth, David","S/Gender","NA",2017
37,"Haluza, Daniela, Naszay, Marlene, Stockinger, Andreas and Jungwirth, David","Healthcare/Engagement","NA",2017
37,"Haluza, Daniela, Naszay, Marlene, Stockinger, Andreas and Jungwirth, David","Internet/Access","NA",2017
37,"Haluza, Daniela, Naszay, Marlene, Stockinger, Andreas and Jungwirth, David","Internet/Attitude/Trust","NA",2017
43,"Hone, Thomas, Palladino, Raffaele and Filippidis, Filippos T.","Health Cond","NA",2016
43,"Hone, Thomas, Palladino, Raffaele and Filippidis, Filippos T.","S/Age","NA",2016
43,"Hone, Thomas, Palladino, Raffaele and Filippidis, Filippos T.","S/Education","NA",2016
43,"Hone, Thomas, Palladino, Raffaele and Filippidis, Filippos T.","S/Gender","NA",2016
43,"Hone, Thomas, Palladino, Raffaele and Filippidis, Filippos T.","S/Location","NA",2016
43,"Hone, Thomas, Palladino, Raffaele and Filippidis, Filippos T.","Healthcare/Experience","NA",2016
44,"Shneyderman, Yuliya, Rutten, Lila J., Arheart, Kristopher L., Byrne, Margaret M., Kornfeld, Julie and Schwartz, Seth J.","Health Cond","NA",2016
55,"Yang, Qinghua, Chen, Yixin and Wendorf Muhamad, Jessica","S/Society/Engagement","The main-effect model of social support;Health Information model;Comprehensive Model of Infomation Seeking (CMIS)",2017
