"targetName","sourceName","RecordNumber","Year","StartDate","YearStop","EndDate","Interval","type","source","target"
"Attitude/Concern","Attitude",92,2017,"[2017",2019,",2019]","[2017,2019]","Undirected",2,3
"Attitude/Concern","Affect",2753,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",1,3
"Attitude/Concern","Attitude",206,2016,"[2016",2019,",2019]","[2016,2019]","Undirected",2,3
"Attitude/Concern","Attitude",371,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",2,3
"Attitude/Concern","Affect",5645,2019,"[2019",2019,",2019]","[2019,2019]","Undirected",1,3
"Behav/Adherence","Affect",1106,2017,"[2017",2019,",2019]","[2017,2019]","Undirected",1,4
"Behav/Intention","Attitude/Concern",2149,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",3,6
"Behav/Intention","Attitude",2564,2011,"[2011",2019,",2019]","[2011,2019]","Undirected",2,6
"Behav/Intention","Attitude",1848,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",2,6
"Environ/Network/Internet","Environ/Network",2323,2011,"[2011",2019,",2019]","[2011,2019]","Undirected",7,8
"Health Behav","Attitude",1041,2018,"[2018",2019,",2019]","[2018,2019]","Undirected",2,9
"Health Behav","Attitude/Concern",447,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",3,9
"Health Cond","Attitude",1041,2018,"[2018",2019,",2019]","[2018,2019]","Undirected",2,10
"Health Cond","Attitude/Concern",1785,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",3,10
"Health Cond","Health Behav",1149,2017,"[2017",2019,",2019]","[2017,2019]","Undirected",9,10
"Health Cond","Health Behav",1933,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",9,10
"Health Cond","Affect",2753,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",1,10
"Health Cond","Health Behav",1684,2016,"[2016",2019,",2019]","[2016,2019]","Undirected",9,10
"Health Cond","Health Behav",1041,2018,"[2018",2019,",2019]","[2018,2019]","Undirected",9,10
"Health Cond","Attitude/Concern",447,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",3,10
"Health Cond","Attitude",5349,2018,"[2018",2019,",2019]","[2018,2019]","Undirected",2,10
"Health Cond","Environ/Network/Internet",1935,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",8,10
"Health Cond","Environ/Network",5881,2018,"[2018",2019,",2019]","[2018,2019]","Undirected",7,10
"Health Cond","Behav/Intention",5761,2019,"[2019",2019,",2019]","[2019,2019]","Undirected",6,10
"Health Cond","Attitude",2564,2011,"[2011",2019,",2019]","[2011,2019]","Undirected",2,10
"Health Cond","Environ/Network/Internet",320,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",8,10
"Health Cond","Attitude/Concern",2873,2010,"[2010",2019,",2019]","[2010,2019]","Undirected",3,10
"Health Cond","Behav/Intention",2564,2011,"[2011",2019,",2019]","[2011,2019]","Undirected",6,10
"Health Cond","Attitude/Concern",2753,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",3,10
"Health Cond","Health Behav",447,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",9,10
"Health Cond","Attitude/Concern",2819,2010,"[2010",2019,",2019]","[2010,2019]","Undirected",3,10
"Health Cond","Health Behav",2620,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",9,10
"Health Cond","Affect",2245,2013,"[2013",2019,",2019]","[2013,2019]","Undirected",1,10
"Health Cond","Health Behav",109,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",9,10
"Health Cond","Environ/Network/Internet",381,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",8,10
"Health Cond","Health Behav",120,2016,"[2016",2019,",2019]","[2016,2019]","Undirected",9,10
"Health Cond/Beliefs","Health Cond",1933,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",10,11
"Health Cond/Beliefs","Health Behav",2620,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",9,11
"Health Cond/Beliefs","Health Cond",2750,2009,"[2009",2019,",2019]","[2009,2019]","Undirected",10,11
"Health Cond/Beliefs","Attitude",92,2017,"[2017",2019,",2019]","[2017,2019]","Undirected",2,11
"Health Cond/Beliefs","Health Cond",2556,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",10,11
"Health Cond/Beliefs","Health Cond",2753,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",10,11
"Health Cond/Beliefs","Affect",2753,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",1,11
"Health Cond/Beliefs","Health Behav",1038,2018,"[2018",2019,",2019]","[2018,2019]","Undirected",9,11
"Health Cond/Beliefs","Health Behav",2663,2012,"[2012",2019,",2019]","[2012,2019]","Undirected",9,11
"Health Cond/Beliefs","Health Cond",400,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",10,11
"Health Cond/Beliefs","Attitude/Concern",2753,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",3,11
"Health Cond/Beliefs","Health Cond",2620,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",10,11
"Health Cond/Beliefs","Health Behav",1101,2017,"[2017",2019,",2019]","[2017,2019]","Undirected",9,11
"Health Cond/Beliefs","Health Behav",1933,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",9,11
"Health Cond/Beliefs","Attitude/Concern",92,2017,"[2017",2019,",2019]","[2017,2019]","Undirected",3,11
"Health Cond/Duration","Health Cond/Beliefs",2750,2009,"[2009",2019,",2019]","[2009,2019]","Undirected",11,12
"Health Cond/Duration","Health Cond",2869,2012,"[2012",2019,",2019]","[2012,2019]","Undirected",10,12
"Health Cond/Duration","Health Cond",1813,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",10,12
"Health Cond/Duration","Health Cond/Beliefs",2620,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",11,12
"Health Cond/Duration","Health Cond",2620,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",10,12
"Health Cond/Duration","Health Cond",1531,2016,"[2016",2019,",2019]","[2016,2019]","Undirected",10,12
"Health Cond/Duration","Health Cond",1785,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",10,12
"Health Cond/Duration","Attitude/Concern",1785,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",3,12
"Health Cond/Duration","Health Behav",2620,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",9,12
"Health Cond/Duration","Health Cond",2750,2009,"[2009",2019,",2019]","[2009,2019]","Undirected",10,12
"Health Cond/Experience","Health Cond/Beliefs",1828,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",11,13
"Health Cond/Family","Health Cond",2531,2009,"[2009",2019,",2019]","[2009,2019]","Undirected",10,14
"Health Cond/Family","Attitude/Concern",2873,2010,"[2010",2019,",2019]","[2010,2019]","Undirected",3,14
"Health Cond/Family","Health Cond",2899,2011,"[2011",2019,",2019]","[2011,2019]","Undirected",10,14
"Health Cond/Family","Health Cond/Experience",1828,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",13,14
"Health Cond/Family","Health Cond/Beliefs",1828,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",11,14
"Health Cond/Family","Environ/Network/Internet",320,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",8,14
"Health Cond/Family","Health Cond",1933,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",10,14
"Health Cond/Family","Health Cond",320,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",10,14
"Health Cond/Family","Health Cond",178,2016,"[2016",2019,",2019]","[2016,2019]","Undirected",10,14
"Health Cond/Family","Health Behav",1933,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",9,14
"Health Cond/Family","Health Cond",2873,2010,"[2010",2019,",2019]","[2010,2019]","Undirected",10,14
"Health Cond/Family","Health Cond",453,2014,"[2014",2019,",2019]","[2014,2019]","Undirected",10,14
"Health Cond/Family","Health Cond",2812,2010,"[2010",2019,",2019]","[2010,2019]","Undirected",10,14
"Health Cond/Family","Health Cond/Beliefs",1933,2015,"[2015",2019,",2019]","[2015,2019]","Undirected",11,14
"Health Cond/Knowledge","Health Cond",5761,2019,"[2019",2019,",2019]","[2019,2019]","Undirected",10,15
"Health Cond/Knowledge","Behav/Intention",5761,2019,"[2019",2019,",2019]","[2019,2019]","Undirected",6,15
